"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(1,3)) []","im(S(1,4)) []","im(S(2,1)) []","im(S(2,2)) []","im(S(2,3)) []","im(S(2,4)) []","im(S(3,1)) []","im(S(3,2)) []","im(S(3,3)) []","im(S(3,4)) []","im(S(4,1)) []","im(S(4,2)) []","im(S(4,3)) []","im(S(4,4)) []"
3,-0.626307290813737,-0.0277394832325873,0.0936417478551676,0.0025688430936755,-0.0277394832325875,-0.203527823574928,-0.00248948055661887,-0.494778282053509,0.0936417478551676,-0.00248948055661911,-0.626573530355971,0.0277000749127393,0.00256884309367551,-0.494778282053511,0.0277000749127395,-0.203090314811048
3.1,-0.615419984750293,-0.0196522835153454,0.163076317784347,0.012029098310553,-0.0196522835153459,-0.170286768553162,-0.0119657360897202,-0.572604082754904,0.163076317784346,-0.0119657360897202,-0.615827430078591,0.0195992687730052,0.0120290983105532,-0.572604082754906,0.0195992687730058,-0.169722438875785
3.2,-0.598156226649649,-0.0114113941767134,0.230621102982665,0.0211172916256105,-0.0114113941767136,-0.136206835683615,-0.0210764358244063,-0.640803834890652,0.230621102982666,-0.0210764358244066,-0.59867274718275,0.0113505983103094,0.0211172916256104,-0.640803834890655,0.0113505983103099,-0.13551767426032
3.3,-0.57506314583143,-0.00401963261264249,0.296265675449649,0.0287261065901068,-0.00401963261264237,-0.104641466422627,-0.0287122281195224,-0.699804708520314,0.296265675449651,-0.0287122281195229,-0.57565118399323,0.00395865113755659,0.0287261065901063,-0.699804708520318,0.0039586511375567,-0.103833670816065
3.4,-0.546631000226793,0.00183668936511278,0.359853301349848,0.0341089311223644,0.00183668936511287,-0.0781440859104224,-0.0341240764456246,-0.749487671195124,0.359853301349847,-0.034124076445625,-0.547248514021046,-0.00189068135950324,0.0341089311223643,-0.749487671195126,-0.00189068135950342,-0.077223347371971
3.5,-0.513272752331212,0.00600940909029995,0.421040478072197,0.0370538057221055,0.00600940909030001,-0.0580117770720475,-0.0370984336873773,-0.789043123752423,0.421040478072192,-0.037098433687376,-0.513873685536447,-0.00605149660793905,0.0370538057221079,-0.789043123752425,-0.00605149660793921,-0.0569826257352746
3.6,-0.475310301273585,0.00884287323518759,0.479316185925681,0.0377739510659817,0.00884287323518789,-0.044301380136638,-0.0378465545818691,-0.816946844080154,0.479316185925673,-0.0378465545818637,-0.475844264049658,-0.00887108626841697,0.0377739510659883,-0.816946844080157,-0.00887108626841704,-0.0431697531253028
3.7,-0.432960564103795,0.0109419637272086,0.534066054659958,0.0367013220388005,0.0109419637272092,-0.0361432578033242,-0.0367965472769871,-0.831101530210169,0.534066054659951,-0.0367965472769814,-0.433371883463543,-0.0109569979304908,0.0367013220388068,-0.83110153021017,-0.0109569979304909,-0.0349198504612801
3.8,-0.386351632073939,0.0129274298548616,0.584651227333361,0.034356532454469,0.0129274298548622,-0.0321125225011307,-0.0344692022587871,-0.829176430828477,0.584651227333358,-0.0344692022587843,-0.386581247391625,-0.0129319881862659,0.0343565324544716,-0.829176430828478,-0.0129319881862658,-0.0308151974582267
3.9,-0.335724281918897,0.0152887905962087,0.630473557967205,0.03121417407661,0.0152887905962085,-0.0305047359006328,-0.0313406792553232,-0.80911170772842,0.630473557967207,-0.0313406792553238,-0.335720409758237,-0.0152869002156648,0.0312141740766088,-0.809111707728418,-0.0152869002156644,-0.0291596043600423
4,-0.281823768225099,0.0183439192254273,0.671012408642399,0.0276327235828611,0.018343919225426,-0.0294724237986789,-0.0277693965311116,-0.769644675170872,0.671012408642403,-0.027769396531115,-0.281541531181963,-0.0183402940409983,0.0276327235828573,-0.769644675170868,-0.0183402940409974,-0.0281139761882351
4.1,-0.225634206698943,0.022263415143786,0.705832942036291,0.0238661401963055,0.0222634151437836,-0.0270430400135654,-0.0240086727165545,-0.710628906726859,0.705832942036288,-0.0240086727165596,-0.225016466036641,-0.0222628441916642,0.0238661401962993,-0.710628906726853,-0.0222628441916628,-0.0257137844161244
4.2,-0.167730711498532,0.0271165053366588,0.734574533502301,0.0200930050069996,0.0271165053366563,-0.0210613939916993,-0.0202362603074537,-0.632950302748097,0.734574533502277,-0.0202362603074607,-0.166724782280511,-0.0271232665782437,0.0200930050069919,-0.632950302748091,-0.0271232665782424,-0.0198111909961539
4.3,-0.108543089997831,0.0329113808875325,0.756930314312469,0.0164403070932187,0.032911380887531,-0.00910985949531918,-0.0165780235437191,-0.538029094678731,0.756930314312403,-0.0165780235437268,-0.107116363245296,-0.0329287074098782,0.0164403070932097,-0.538029094678727,-0.0329287074098775,-0.00799476555461096
4.4,-0.048718155297518,0.0396152875326448,0.772629021965855,0.0129955781879169,0.0396152875326454,0.0115071172960948,-0.0131199231756863,-0.427151531531001,0.772629021965713,-0.0131199231756939,-0.0468531690970715,-0.039644935406743,0.0129955781879077,-0.427151531531,-0.0396449354067435,0.0124271129988846
4.5,0.0108770835664908,0.0471411984511446,0.781441961469515,0.00979950784645992,0.0471411984511473,0.0435226205891773,-0.0099005712663388,-0.301106333983845,0.781441961469227,-0.00990057126634522,0.0131864579279231,-0.0471832283256072,0.0097995078464519,-0.301106333983849,-0.0471832283256091,0.0441881078612524
4.6,0.0692506655889942,0.0552770239005685,0.783401121785439,0.00680235607783915,0.0552770239005718,0.0887587724142423,-0.00686786640563727,-0.160879743253134,0.783401121784956,-0.00686786640564113,0.0719990415517946,-0.0553300954480012,0.00680235607783398,-0.160879743253138,-0.0553300954480037,0.0891194623279076
4.7,0.125373199670781,0.0635148241693935,0.778147536871628,0.00375347299534989,0.0635148241693953,0.145529572529129,-0.00376954670654448,-0.0106873408502525,0.778147536872077,-0.00376954670654586,0.12854229482241,-0.0635777351237545,0.00375347299534752,-0.0106873408502541,-0.0635777351237559,0.145559111009955
4.8,0.178250603317367,0.0707546872557798,0.763072520341605,-2.92791797770227E-06,0.0707546872557785,0.203176528342496,4.81529484229079E-05,0.135135376358877,0.763072520341668,4.81529484235867E-05,0.181807695187259,-0.0708305754057194,-2.92791797712734E-06,0.135135376358882,-0.0708305754057185,0.202895192743729
4.9,0.226978750584017,0.0750771669531937,0.740947624390281,-0.00572024452576838,0.0750771669531916,0.235261723957504,0.00582780414541901,0.243900090658899,0.740947624390362,0.00582780414541849,0.230874992546421,-0.0751816768096727,-0.00572024452576724,0.243900090658906,-0.0751816768096705,0.234766030262421
5,0.27077264657284,0.074350818546754,0.710563964802133,-0.0148667469807617,0.0743508185467559,0.204090726379291,0.0150162452729108,0.272017436948374,0.710563964802191,0.0150162452729066,0.27494121546564,-0.0745203049768599,-0.0148667469807631,0.272017436948374,-0.0745203049768593,0.203581269548829
5.1,0.308967258667503,0.0682342719209045,0.671591427545926,-0.0274101531443744,0.06823427192091,0.0944823182284574,0.0275646703843259,0.205592336867413,0.671591427545962,0.0275646703843201,0.313321644617764,-0.0685178610300411,-0.0274101531443776,0.205592336867409,-0.0685178610300429,0.0942447148327578
5.2,0.340997525967315,0.0592340783244436,0.62385885996166,-0.0403399709142965,0.0592340783244476,-0.0547648204487059,0.0404732961677595,0.0874707783495436,0.623858859961682,0.040473296167756,0.345430603041127,-0.0596612859925184,-0.0403399709142993,0.0874707783495444,-0.0596612859925203,-0.0544932310402221
5.3,0.366375315981665,0.0502791651422615,0.567321650310509,-0.0497341174183695,0.0502791651422629,-0.18346131982925,0.0498459028517716,-0.0240475348920623,0.567321650310521,0.0498459028517701,0.370759862174322,-0.0508368092866906,-0.0497341174183722,-0.0240475348920548,-0.0508368092866923,-0.182623776592121
5.4,0.384684948396875,0.0422645963067368,0.502092308704702,-0.0537471144740817,0.042264596306738,-0.260633899828207,0.0538513884359646,-0.099780292341155,0.50209230870471,0.053851388435963,0.388875937534282,-0.0429075392990992,-0.0537471144740857,-0.0997802923411476,-0.042907539299102,-0.259314414696457
5.5,0.395612421190619,0.034400666792339,0.42847840214537,-0.0524508660483269,0.034400666792341,-0.287635001242628,0.0525616126767009,-0.137327926235319,0.428478402145375,0.0525616126766987,0.399450896333425,-0.0350719673637448,-0.0524508660483316,-0.13732792623532,-0.0350719673637487,-0.285955053613399
5.6,0.399007568939359,0.0254662528943436,0.347017262402211,-0.0464349586977241,0.0254662528943454,-0.278838277640966,0.0465588746741064,-0.143317058799747,0.347017262402215,0.0465588746741048,0.402325592950896,-0.0261072256371396,-0.0464349586977282,-0.143317058799758,-0.0261072256371433,-0.276915278193754
5.7,0.3949597380981,0.0145113267559766,0.258500968983522,-0.036218452673778,0.0145113267559772,-0.24959231705722,0.0363522764922518,-0.122919346711691,0.258500968983523,0.0363522764922513,0.397586013835467,-0.0150641964772731,-0.0362184526737804,-0.122919346711728,-0.0150641964772756,-0.247543632757774
5.8,0.383856156569876,0.0011061849719466,0.163985722009711,-0.0223187237813454,0.00110618497194625,-0.21250131306456,0.0224491360078229,-0.089535008383668,0.163985722009712,0.0224491360078233,0.385622242850698,-0.00151576447909424,-0.0223187237813465,-0.089535008383668,-0.0015157644790953,-0.210452402898683
5.9,0.366395424169035,-0.0145680038757423,0.0647806827950127,-0.00548187549595849,-0.0145680038757426,-0.176919477180759,0.00558754537540427,-0.0387102902961341,0.0647806827950123,0.00558754537540465,0.367142615570354,0.0143506801486852,-0.00548187549595904,-0.0387102902961348,0.0143506801486847,-0.175001810011835
6,0.34354565918738,-0.0316982348851001,-0.0375866090145297,0.0131506344134412,-0.0316982348850997,-0.149149496325829,-0.0130950946190133,0.026116383926189,-0.0375866090145302,-0.0130950946190134,0.343132293962433,0.0317101281186091,0.0131506344134405,0.0261163839261868,0.0317101281186086,-0.147490554593683
6.1,0.316458540012225,-0.0489112098976826,-0.141428015643559,0.0320169960369219,-0.0489112098976821,-0.132643264133488,-0.0320358795741451,0.103187581772917,-0.141428015643558,-0.0320358795741453,0.314766957146836,0.049170700570637,0.0320169960369213,0.103187581772916,0.0491707005706367,-0.131353544263309
6.2,0.286365388918196,-0.0644679303477258,-0.244971779592917,0.0492701481820226,-0.0644679303477269,-0.128088627491523,-0.0493813639182793,0.190397874668556,-0.244971779592914,-0.0493813639182788,0.283307450100063,0.0649695966479859,0.0492701481820229,0.190397874668555,0.064969596647987,-0.127247574017639
6.3,0.254483688620605,-0.0765692944085691,-0.346451044014943,0.0630466515457138,-0.0765692944085721,-0.133469196475644,-0.0632571960576164,0.284359585741319,-0.346451044014939,-0.0632571960576148,0.250004010585088,0.0772821775408276,0.0630466515457152,0.284359585741319,0.0772821775408302,-0.133110240719356
6.4,0.221954157747548,-0.08371255940595,-0.444193613039059,0.0718035284284243,-0.0837125594059527,-0.144363603893253,-0.0721062761133281,0.379827930730116,-0.444193613039056,-0.0721062761133266,0.216030848814139,0.0845831712012632,0.0718035284284257,0.379827930730116,0.0845831712012657,-0.144461487651049
6.5,0.189816362021441,-0.0850130330153743,-0.536701723769101,0.0746335761091923,-0.0850130330153737,-0.154846082038022,-0.0750060307421261,0.469729497795863,-0.536701723769106,-0.0750060307421271,0.182459751830318,0.0859729155456913,0.0746335761091916,0.469729497795861,0.0859729155456911,-0.155315591899895
