"Freq [MHz]","dB(St(Rectangle3_T1,Rectangle3_T1)) [] - antw='0.02meter'","dB(St(Rectangle3_T1,Rectangle3_T1)) [] - antw='0.2meter'","dB(St(Rectangle3_T1,Rectangle3_T1)) [] - antw='0.3meter'","dB(St(Rectangle3_T1,Rectangle3_T1)) [] - antw='0.5meter'"
250,-2.64292195356777,-3.66239980907578,-0.5882842450883,-4.03907530464218
252,-2.0127328447406,-3.33585001213708,-1.18439029578302,-3.01504875971351
254,-1.810325273065,-3.0129522675497,-1.48089097655325,-2.49370905765754
256,-1.98047361736974,-2.69467452671867,-2.38245907272769,-2.71112627290849
258,-5.07467236807318,-2.3820373741892,-10.3461176457869,-3.51988822203202
260,-2.34233729969136,-2.07645381714374,-2.89823612860891,-1.72726345316702
262,-1.66156178207454,-1.78097765411272,-2.08710605929567,-2.7087305695087
264,-1.91216642158072,-1.50533834847653,-1.88395407851052,-2.58571008287752
266,-2.55172313323663,-1.29061067997407,-3.27517413606551,-2.82842044708295
268,-3.13738946748982,-1.3733668352615,-6.20028401297634,-3.25277009675231
270,-3.42714742729514,-3.33277287295323,-3.91850429852696,-2.76365105351709
272,-1.89120964420811,-3.73654107685325,-2.64511147723053,-2.46253871280632
274,-1.19047633148284,-1.91017580731485,-2.05557311097877,-2.24463224413388
276,-0.816070225418594,-1.22918519199638,-1.54647187777963,-3.11452766856236
278,-0.805494661664752,-0.975022193560733,-1.8414183237202,-2.86395858300844
280,-1.12089793201385,-0.999743552756696,-2.62293934803134,-3.11425258668524
282,-1.54421690242391,-1.25462202306115,-2.91202575790789,-3.39877389003757
284,-1.90061077619454,-1.60915503505487,-3.03903949706458,-3.50341463089109
286,-2.17088034228166,-1.90685008075979,-3.11209110963907,-3.54832477519704
288,-2.40539000753448,-2.10464162732193,-3.1726271740016,-3.59751556534901
290,-2.65663756975632,-2.24828668110487,-3.25782099196621,-3.67341079048227
292,-2.96519531937879,-2.39035470704396,-3.38861986568375,-3.78416020596548
294,-3.36337980235455,-2.56328747479528,-3.57231719464628,-3.93302248287231
296,-3.88009619630315,-2.78353832200541,-3.81101602954075,-4.12124586977763
298,-4.5436424507552,-3.0589403725961,-4.10556553604981,-4.34901451124005
300,-5.38242253746886,-3.39311333524994,-4.45627599528562,-4.6158338214427
302,-6.42332573763689,-3.78752255146619,-4.8625682028526,-4.91805094538103
304,-7.68577843708803,-4.24229498140193,-5.32246488382437,-5.25417317934575
306,-9.16475141904634,-4.75642180006032,-5.83219218105882,-5.61919253101022
308,-10.7853231643601,-5.3276250587739,-6.38593143898249,-6.00707852576476
310,-12.305436163881,-5.95197880853889,-6.97568045684229,-6.41089012167563
312,-13.2434916621288,-6.6232822447278,-7.59115973611067,-6.82283889831789
314,-13.1856983702498,-7.33214655607966,-8.21971597776545,-7.23432093830988
316,-12.3108276961377,-8.06478195896872,-8.84623167846526,-7.63595886351894
318,-11.1221514663003,-8.80159916101915,-9.45314220892672,-8.01771529017189
320,-9.94666794183598,-9.51603903662981,-10.0207706753383,-8.36914823969302
322,-8.90202153645078,-10.1745388377626,-10.5282644158123,-8.67986817577616
324,-8.00806890753605,-10.7390077150254,-10.9553618730274,-8.94021523647426
326,-7.25200930628338,-11.1729046454614,-11.2849391707463,-9.14210191889842
328,-6.6134648463013,-11.4501192448283,-11.5058057305646,-9.2798784897614
330,-6.07269327847484,-11.5628937981102,-11.6148027149135,-9.3510159687304
332,-5.61279177611631,-11.5240121298642,-11.6173059720247,-9.3564099903811
334,-5.21991182188764,-11.3617643451834,-11.5258759444081,-9.3002039214552
336,-4.88288804409482,-11.1110265586451,-11.3576289545055,-9.18917460070881
338,-4.59275570442703,-10.8052832800512,-11.1313345604806,-9.03184804296301
340,-4.34230633054753,-10.4721390847862,-10.8650724744564,-8.83755945585478
342,-4.12571802512853,-10.1321120872633,-10.5747967693032,-8.61563632794442
344,-3.93825938642169,-9.79934363225541,-10.2737351398273,-8.3748023329455
346,-3.77605518980116,-9.48300605304584,-9.97235990589561,-8.12281904803874
348,-3.63590046308612,-9.18872168262645,-9.67866213330941,-7.86632927652332
350,-3.51511095013882,-8.91972644323304,-9.398536370253,-7.61084432941248
352,-3.41139991300479,-8.67773426012848,-9.14772193518586,-7.3681563996775
354,-3.32277303051579,-8.46354568352031,-8.91208961948246,-7.13251193847522
356,-3.24743466334186,-8.27746360089459,-8.69633503514554,-6.90782618910824
358,-3.18370007761684,-8.11957207154125,-8.50400074666319,-6.69703069727129
360,-3.12990960513436,-7.98992041395275,-8.33772261498226,-6.50222323225631
362,-3.08434255663193,-7.88864093890489,-8.19950276882856,-6.3248710521518
364,-3.0451315261396,-7.81601686260241,-8.09097570724396,-6.16602592015035
366,-3.01018215317691,-7.77250645766283,-8.01364948737135,-6.02652741747897
368,-2.97710995353375,-7.75871905690639,-7.96911372586735,-5.90718527249654
370,-2.94321435141786,-7.77532639415555,-7.95921005979841,-5.80894062128238
372,-2.90551880387467,-7.82287708283041,-7.98615874603629,-5.73301100672492
374,-2.86091036294624,-7.90146133814521,-8.05262637942471,-5.6810255613675
376,-2.80640440783204,-8.01014806015929,-8.1617018434943,-5.65515590788587
378,-2.73953201861099,-8.14609477039229,-8.31671584346517,-5.65824482991867
380,-2.65879637084049,-8.3032378777666,-8.52078635996358,-5.69392767706021
382,-2.56408490890498,-8.47056747721945,-8.77588993350984,-5.76672830686199
384,-2.45688996524292,-8.6302889803102,-9.08114766116271,-5.88208761415105
386,-2.3402194449811,-8.75678833368061,-9.42991887800951,-6.04624101803656
388,-2.21817860854558,-8.81812330856819,-9.80539211409798,-6.26579129878725
390,-2.09533008972637,-8.78191824331824,-10.1751289162237,-6.54671426355573
392,-1.97602034193864,-8.62551626229142,-10.4872464763864,-6.89238909494597
394,-1.86385221342992,-8.34595886627042,-10.6745668903258,-7.30012067209505
396,-1.76140137701378,-7.9629508487976,-10.6737004300624,-7.75574141040668
398,-1.67017513397322,-7.51209357010879,-10.4549061917306,-8.22683176492423
400,-1.59074518891478,-7.03302560559766,-10.0403928154451,-8.65783194785702
402,-1.5229667456038,-6.55952526393045,-9.49261405369012,-8.9746514061758
404,-1.46621163144441,-6.11498765289323,-8.88406246284297,-9.10668935952505
406,-1.41957161136197,-5.7124697231407,-8.27352260075111,-9.02020570852951
408,-1.38201400194145,-5.35699258594248,-7.69834253444074,-8.73662853496579
410,-1.35248886138533,-5.04828272857495,-7.17724997299292,-8.31746075318056
412,-1.32999553761696,-4.78306697559618,-6.71632293525509,-7.83202215334056
414,-1.31361887618959,-4.55668815237858,-6.31430818460959,-7.33474341248608
416,-1.30254469384012,-4.36411368334729,-5.96630741768292,-6.85934126328091
418,-1.29606216898235,-4.20049897559255,-5.66601592360961,-6.4226185851552
420,-1.2935586782009,-4.06145993472507,-5.40695506656502,-6.03042128711057
422,-1.29451079612324,-3.9431713865013,-5.18308172181352,-5.68247750632761
424,-1.29847380571127,-3.84236981431653,-4.98903986140675,-5.37554670812085
426,-1.30507110661785,-3.75630902034685,-4.82021992671273,-5.10523810431621
428,-1.31398427523213,-3.6826969232871,-4.67272317770389,-4.86697181780928
430,-1.32494413140878,-3.61962879458163,-4.54328530028656,-4.65643999733867
432,-1.33772292861416,-3.56552451909646,-4.42918807534025,-4.46979447083456
434,-1.35212765033016,-3.51907308455318,-4.32817337626913,-4.3036932275164
436,-1.36799432694967,-3.47918515039113,-4.23836576604786,-4.15527919512345
438,-1.38518325803336,-3.44495337457548,-4.15820574861425,-4.02213054228051
440,-1.40357501793694,-3.41561966555085,-4.08639363549609,-3.90220259091685
442,-1.42306712804028,-3.39054836792318,-4.02184305148755,-3.79377101934266
444,-1.44357128982964,-3.36920440813376,-3.96364277418017,-3.69538053295758
446,-1.46501108624715,-3.35113552270849,-3.91102557607346,-3.60580036474666
448,-1.48732007200942,-3.33595781469981,-3.86334284937285,-3.52398660124337
450,-1.5104401859734,-3.32334400764027,-3.82004395557263,-3.44905072740008
