"Freq [MHz]","dB(St(Rectangle3_T1,Rectangle3_T1)) [] - antw='0.02meter' W='0.01meter'","dB(St(Rectangle3_T1,Rectangle3_T1)) [] - antw='0.02meter' W='0.04meter'","dB(St(Rectangle3_T1,Rectangle3_T1)) [] - antw='0.02meter' W='0.08meter'","dB(St(Rectangle3_T1,Rectangle3_T1)) [] - antw='0.02meter' W='0.12meter'"
250,-2.4131717921595,-2.45706239950395,-3.34204343911029,-2.64292195356777
252,-2.59827155815031,-2.64148417119268,-3.26264792754485,-2.0127328447406
254,-2.77144033005577,-2.81275313596194,-3.16067407633647,-1.810325273065
256,-2.92524429173204,-2.96341873301423,-3.04343737404416,-1.98047361736974
258,-3.05265539201714,-3.08657243010031,-2.91738997243553,-5.07467236807318
260,-3.14797701479448,-3.17677273950416,-2.78777211929065,-2.34233729969136
262,-3.20764259152164,-3.23082008311851,-2.65855347052479,-1.66156178207454
264,-3.23065953755279,-3.24816315977273,-2.53255072076671,-1.91216642158072
266,-3.21859320160192,-3.23082604247845,-2.4116252769151,-2.55172313323663
268,-3.17515596868902,-3.1829039297852,-2.29689677124279,-3.13738946748982
270,-3.10554618748334,-3.10980330601628,-2.18893755488365,-3.42714742729514
272,-3.01567240586221,-3.01744214087061,-2.08793388956705,-1.89120964420811
274,-2.9114183078044,-2.91158012762929,-1.99381159323266,-1.19047633148284
276,-2.79810169506088,-2.79736291677015,-1.90632976303944,-0.816070225418594
278,-2.68018460120341,-2.67908513117334,-1.82514831622421,-0.805494661664752
280,-2.56119219965183,-2.56012885954974,-1.74987523293363,-1.12089793201385
282,-2.44376453270186,-2.44301819982229,-1.6800986592751,-1.54421690242391
284,-2.32977538615776,-2.32953549119228,-1.61540803814023,-1.90061077619454
286,-2.22047378605956,-2.2208591458423,-1.55540747133196,-2.17088034228166
288,-2.11662204787065,-2.11769817811962,-1.49972369493335,-2.40539000753448
290,-2.01861741651573,-2.02041065690287,-1.44801039749484,-2.65663756975632
292,-1.92659263573114,-1.9291014357572,-1.39995011467814,-2.96519531937879
294,-1.84049548514348,-1.84369921521258,-1.35525456780633,-3.36337980235455
296,-1.76014961188333,-1.76401527843496,-1.31366404899609,-3.88009619630315
298,-1.68529980945273,-1.68978704873991,-1.27494626720703,-4.5436424507552
300,-1.61564492573391,-1.62070962448031,-1.23889493745311,-5.38242253746886
302,-1.5508612362362,-1.5564580853222,-1.20532830409404,-6.42332573763689
304,-1.49061864164308,-1.4967028798736,-1.17408772704837,-7.68577843708803
306,-1.43459156781104,-1.44112012379524,-1.14503641858798,-9.16475141904634
308,-1.38246601925208,-1.3893982148756,-1.11805839213093,-10.7853231643601
310,-1.33394388295729,-1.34124182389993,-1.09305766897293,-12.305436163881
312,-1.28874529797903,-1.29637404566822,-1.06995778131955,-13.2434916621288
314,-1.24660968884826,-1.25453728367065,-1.04870160837747,-13.1856983702498
316,-1.20729589642657,-1.21549328305691,-1.02925158538156,-12.3108276961377
318,-1.17058171717205,-1.17902260851758,-1.01159033248344,-11.1221514663003
320,-1.13626307143469,-1.14492377698458,-0.995721760897187,-9.94666794183598
322,-1.10415295542876,-1.11301219191563,-0.981672727171725,-8.90202153645078
324,-1.07408028375919,-1.08311898030504,-0.969495322387439,-8.00806890753605
326,-1.04588869504561,-1.05508980083787,-0.959269900436897,-7.25200930628338
328,-1.01943536869668,-1.02878366830386,-0.951108966367942,-6.6134648463013
330,-0.994589883558985,-1.00407182293206,-0.945162058401573,-6.07269327847484
332,-0.971233137019899,-0.980836661795534,-0.941621759608219,-5.61279177611631
334,-0.949256334729894,-0.958970741479497,-0.940730958691837,-5.21991182188764
336,-0.92856005536864,-0.938375855791137,-0.942791436109505,-4.88288804409482
338,-0.909053391040729,-0.91896218868261,-0.948173791747709,-4.59275570442703
340,-0.890653161395054,-0.900647540229149,-0.957328744081078,-4.34230633054753
342,-0.873283198015293,-0.883356622070189,-0.970800307181684,-4.12571802512853
344,-0.856873694739524,-0.867020417908512,-0.989243728919057,-3.93825938642169
346,-0.841360619128327,-0.851575604274925,-1.01346051393383,-3.77605518980116
348,-0.826685180166002,-0.836964026664508,-1.04449852263129,-3.63590046308612
350,-0.81279334734471,-0.823132226235859,-1.08400462772336,-3.51511095013882
352,-0.799635416472768,-0.810031012468185,-1.13562678004487,-3.41139991300479
354,-0.787165617815552,-0.797615077443651,-1.21156414851617,-3.32277303051579
356,-0.775341762484292,-0.78584264773128,-1.37518801916815,-3.24743466334186
358,-0.764124923311501,-0.774675170170885,-2.39089781199901,-3.18370007761684
360,-0.75347914677513,-0.76407702817643,-4.58045626104851,-3.12990960513436
362,-0.743371192847063,-0.754015285488192,-1.39661312892636,-3.08434255663193
364,-0.733770299938764,-0.744459454596107,-1.07643030274736,-3.0451315261396
366,-0.724647972394157,-0.735381287329957,-0.873632768964618,-3.01018215317691
368,-0.715977788235972,-0.726754585363724,-0.714440444969231,-2.97710995353375
370,-0.707735225105767,-0.718555028611638,-0.675762210951221,-2.94321435141786
372,-0.699897502550822,-0.710760019702392,-0.919120394526619,-2.90551880387467
374,-0.692443439003421,-0.703348542907053,-1.08360292886022,-2.86091036294624
376,-0.685353321971609,-0.696301036066213,-0.56095180361332,-2.80640440783204
378,-0.67860879011605,-0.689599274214885,-1.07366861069144,-2.73953201861099
380,-0.672192726027331,-0.683226263740461,-2.19476075353896,-2.65879637084049
382,-0.666089158642813,-0.677166146031472,-3.82575434925122,-2.56408490890498
384,-0.660283174353661,-0.671404109684532,-5.67524436494152,-2.45688996524292
386,-0.654760835952318,-0.665926310434169,-6.9545983574239,-2.3402194449811
388,-0.649509108659394,-0.660719798057727,-7.03448461217204,-2.21817860854558
390,-0.644515792548227,-0.65577244958502,-6.32820091750373,-2.09533008972637
392,-0.63976946075599,-0.651072908211748,-5.4744965248113,-1.97602034193864
394,-0.635259402933024,-0.646610527377529,-4.73277649213568,-1.86385221342992
396,-0.630975573438448,-0.642375319524432,-4.14380316448048,-1.76140137701378
398,-0.626908543839951,-0.638357909101184,-3.68667633419002,-1.67017513397322
400,-0.623049459320481,-0.634549489421842,-3.33221267535045,-1.59074518891478
402,-0.61938999863439,-0.63094178302724,-3.05574500701818,-1.5229667456038
404,-0.615922337291168,-0.627527005232194,-2.83861262683917,-1.46621163144441
406,-0.612639113676828,-0.624297830572924,-2.6671045127234,-1.41957161136197
408,-0.609533397851372,-0.621247361897032,-2.53114382089625,-1.38201400194145
410,-0.606598662786281,-0.61836910186348,-2.42320989907006,-1.35248886138533
412,-0.603828757828807,-0.615656926642329,-2.33753371611848,-1.32999553761696
414,-0.601217884200206,-0.613105061624265,-2.26950558515093,-1.31361887618959
416,-0.598760572353461,-0.610708058967765,-2.21523115168383,-1.30254469384012
418,-0.596451661032444,-0.608460776828125,-2.17119010535233,-1.29606216898235
420,-0.594286277889263,-0.606358360127002,-2.13397432834544,-1.2935586782009
422,-0.592259821529801,-0.604396222734171,-2.10010528303722,-1.29451079612324
424,-0.590367944869411,-0.60257003094517,-2.06595321865826,-1.29847380571127
426,-0.588606539691518,-0.60087568814872,-2.02779804098655,-1.30507110661785
428,-0.586971722311542,-0.5993093205878,-1.9820711078811,-1.31398427523213
430,-0.585459820257294,-0.597867264126489,-1.92578192291282,-1.32494413140878
432,-0.584067359884879,-0.596546051942719,-1.85705616588737,-1.33772292861416
434,-0.58279105485642,-0.59534240307402,-1.77561634260905,-1.35212765033016
436,-0.581627795412028,-0.594253211749571,-1.6829887644341,-1.36799432694967
438,-0.580574638374706,-0.593275537447978,-1.58228771057994,-1.38518325803336
440,-0.579628797831787,-0.592406595624876,-1.47760429152948,-1.40357501793694
442,-0.578787636441515,-0.591643749059761,-1.37320919399634,-1.42306712804028
444,-0.578048657317654,-0.590984499775253,-1.27284194753803,-1.44357128982964
446,-0.577409496448904,-0.590426481486191,-1.17927575313449,-1.46501108624715
448,-0.576867915613622,-0.589967452539353,-1.09419634723279,-1.48732007200942
450,-0.576421795753402,-0.589605289307853,-1.01831674091233,-1.5104401859734
